,route,id,navaid,latitude,longitude
1170,A301,46,RCO,-9.875983,-67.905381
1171,A301,47,VILUX,-10.475667,-67.539333
1172,A301,48,NAXEV,-11.155833,-67.13
1173,A301,49,OGMET,-13.835278,-65.518056
1174,A301,50,KETIP,-14.075833,-65.373333
1175,A301,51,TRI,-14.79925,-64.93808299999999
1176,A301,52,IREDO,-15.5125,-64.487222
1177,A301,53,PAKES,-16.484444,-63.872778000000004
1178,A301,54,VIR,-17.626139000000002,-63.147889
1225,A304,2,ELAKO,-15.926667000000002,-69.305
1226,A304,3,PAZ,-16.512028,-68.23347199999999
1227,A304,4,TERAX,-16.716389000000003,-67.302778
1228,A304,5,MEVOT,-16.901667,-66.459722
1229,A304,6,MOSGO,-16.939167,-66.288889
1230,A304,7,PUNAV,-17.0275,-65.88638900000001
1231,A304,8,DOLGI,-17.075556,-65.667222
1232,A304,9,SALBI,-17.329722,-64.509722
1234,A304,11,SIKIN,-17.9125,-61.78444399999999
1235,A304,12,OBO,-18.332778,-59.765556000000004
1236,A304,13,EKITA,-18.758056,-58.482222
1237,A304,14,PSZ,-18.978139000000002,-57.818332999999996
1238,A304,15,CUB,-19.016167000000003,-57.6645
2540,A430,2,FLOTE,-10.289,-67.094167
2541,A430,3,NIGVA,-11.209166999999999,-65.305
3344,A556,2,SURKO,-18.731111,-62.357222
3345,A556,3,MOMDI,-19.628056,-61.715278000000005
3446,A568,4,VAGUR,-17.589444,-69.44166700000001
3453,A573,2,KOVIS,-16.976667000000003,-69.05805600000001
3454,A573,3,ORALO,-17.2961,-69.625
4219,A685,2,FILHO,-10.195167,-66.977333
4220,A685,3,GJM,-10.784333,-65.28116700000001
9019,B652,2,TIVRU,-17.261944,-61.808333
9020,B652,3,SMT,-16.33,-58.398056000000004
27426,M653,1,SLGM,-10.888889,-65.38166700000001
27427,M653,2,KODSA,-11.105,-65.315556
27429,M653,4,KILOL,-11.513889,-65.274167
27430,M653,5,UBLEX,-13.966389000000001,-65.023333
31891,N650,5,ANBUN,-18.951944,-63.35916700000001
31892,N650,6,SULGA,-20.006944,-63.528611
31893,N650,7,EKUVO,-21.628611,-63.630832999999996
31894,N650,8,UGVAX,-21.9625,-63.65194399999999
45899,T510,1,ANSOD,-11.01,-66.072778
45900,T510,2,UKARO,-13.208889000000001,-65.415278
45901,T510,3,MIKAL,-13.995833,-65.179167
45947,T521,1,BUVNO,-11.040556,-68.783611
45948,T521,2,AKRUD,-11.395,-68.849722
45949,T521,3,TINPO,-11.660278,-68.545
45950,T521,4,BITAG,-11.820556,-68.360833
45951,T521,5,ROBOK,-12.126389,-68.00944399999999
45952,T521,6,RIXUM,-14.060832999999999,-65.78666700000001
45953,T521,7,AKRIM,-14.241110999999998,-65.579444
45978,T532,3,GAXAN,-11.368056,-68.65527800000001
45979,T532,4,DAGEM,-11.361388999999999,-68.606667
45980,T532,5,KODNI,-11.272222,-67.96583299999999
45983,T532,8,EDSOV,-10.959444,-65.79083299999999
46125,T543,2,GAVOS,-17.970556,-61.798889
46126,T543,3,GAXUS,-18.806110999999998,-58.497778000000004
46127,T543,4,SLPS,-18.980556,-57.823889
46153,T554,2,LIVON,-18.958889000000003,-63.305
47101,T711,2,ELAMU,-15.592778,-68.186389
47102,T711,3,BOKAP,-14.268056,-68.118889
47108,T712,1,CBA,-17.421332999999997,-66.178944
47109,T712,2,PORKI,-17.677192,-65.879258
47110,T712,3,MUNET,-17.672697,-65.627503
47111,T712,4,KOSBO,-17.653333,-64.545556
47116,T714,2,PALOT,-17.6125,-66.465278
47117,T714,3,EGUTA,-17.804167,-66.784444
47118,T714,4,ORU,-17.979992000000003,-67.07688900000001
47138,T716,1,SLOR,-17.955556,-67.075
47419,T797,9,ILPEM,-20.961667000000002,-68.385
52742,UL216,30,ARMUK,-13.482167,-61.558333
52743,UL216,31,LOBON,-15.264167,-60.588611
52744,UL216,32,UGUPA,-15.626110999999998,-60.391667000000005
52745,UL216,33,GEBAS,-18.758056,-58.687222
52746,UL216,34,SIDAK,-19.639167,-58.207778000000005
52747,UL216,35,ESDER,-20.294832999999997,-57.81316700000001
53044,UL309,3,EMPEX,-20.511944,-68.665
53045,UL309,4,IROBO,-17.4275,-68.332222
53047,UL309,6,AKSIS,-16.077222,-68.211389
53050,UL309,9,ALBEG,-12.821944,-68.045
53051,UL309,10,GRAFO,-10.642833,-67.933667
53177,UL322,11,GAXOK,-22.22,-64.61
53178,UL322,12,ESMUR,-21.356389,-64.335278
53179,UL322,13,PALIV,-19.824722,-63.848333
53180,UL322,14,IRESU,-18.909167,-63.557221999999996
53182,UL322,16,SEDMA,-16.308889,-62.914722
53183,UL322,17,NILSO,-15.039722,-62.688611
53184,UL322,18,VAROM,-13.744444,-62.458056000000006
53185,UL322,19,ILRES,-13.156667,-62.353333
53477,UL404,2,KABOM,-18.966389000000003,-63.103889
53478,UL404,3,UKDOR,-20.469722,-63.05194399999999
53479,UL404,4,BOLET,-21.312222,-63.023610999999995
53480,UL404,5,PUPON,-22.0,-63.0
53510,UL417,9,PUBUM,-22.241667,-64.06
53512,UL417,11,ASETO,-20.931944,-64.4675
53513,UL417,12,EGUSU,-19.166667,-65.016667
53514,UL417,13,VALUS,-18.889722,-65.102778
53515,UL417,14,GELAS,-17.67,-65.482222
53516,UL417,15,VAREB,-17.464722000000002,-65.546111
53518,UL417,17,LOKOX,-16.833889000000003,-65.7425
53519,UL417,18,NIRBO,-15.442222000000001,-66.175278
53520,UL417,19,KADOX,-14.546110999999998,-66.454167
53521,UL417,20,ISARA,-10.606667,-67.67666700000001
54000,UL540,3,SOTKU,-21.866667,-68.0625
54001,UL540,4,AKVAG,-20.7725,-66.695
54002,UL540,5,ARUBO,-20.033056,-65.771111
54003,UL540,6,DAKRO,-19.775,-65.489722
54005,UL540,8,BUTIN,-19.340833,-65.016111
54006,UL540,9,LIVET,-19.3025,-64.97444399999999
54007,UL540,10,MATGO,-18.840833,-64.471389
54008,UL540,11,MULOG,-18.554167,-64.156667
54010,UL540,13,SASNO,-16.541944,-61.79833299999999
54011,UL540,14,UKEKU,-15.476944,-60.472778000000005
54012,UL540,15,EROGI,-15.2985,-60.2505
55084,UL793,14,OROMU,-19.531667000000002,-61.093332999999994
55085,UL793,15,XOLAT,-18.349722,-61.37194399999999
55086,UL793,16,ROKES,-18.061389000000002,-61.44
55088,UL793,18,TEPUG,-15.098610999999998,-62.138611
55090,UL793,20,UDIDI,-13.043333,-62.623332999999995
55189,UL797,5,UDUNI,-20.003056,-66.86416700000001
55190,UL797,6,BORAM,-19.534167,-66.120278
55191,UL797,7,BURDO,-19.378332999999998,-65.873333
55192,UL797,8,SUR,-19.011944,-65.291667
55194,UL797,10,ANBES,-18.73,-64.855278
55195,UL797,11,SAVRA,-18.586111,-64.632778
55196,UL797,12,EKIKO,-18.3775,-64.309444
56170,UM402,20,ANPOP,-18.855556,-58.302222
56171,UM402,21,UBKAB,-16.315,-58.608610999999996
56273,UM411,4,ALGIP,-18.846389000000002,-58.63916700000001
56274,UM411,5,EDRUS,-18.943889000000002,-58.291667000000004
