CUB,PSZ
PSZ,EKITA
EKITA,OBO
OBO,SIKIN
SIKIN,VIR
VIR,SALBI
SALBI,DOLGI
DOLGI,PUNAV
PUNAV,MOSGO
YAC,CAM
CAM,ANBUN
ANBUN,VIR
SILIC,EDSOV
GERNI,PORGO
PORGO,VIR
VAGUR,DEVUR
DEVUR,LPZ
ORALO,ESDUM
ESDUM,PAZ
RCO,FILHO
VIR,TIVRU
TIVRU,SMT
PAZ,ELAMU
ELAMU,BOKAP
PAZ,CRC
CRC,REDIR
REDIR,SRJ
SRJ,RIXUM
YAC,KONPI
KONPI,TAR
TAR,ATENI
ATENI,LODUS
LODUS,SUR
SUR,DANBA
DANBA,ATAVO
ATAVO,CBA
CBA,MOSGO
MOSGO,NEGAX
NEGAX,SRJ
SRJ,PUDIR
SUR,ANBES
ANBES,EKIKO
EKIKO,VIR
VIR,TITRA
TITRA,SNG
TRI,MOXUS
MOXUS,SRJ
RCO,ISARA
DARIO,SIDAK
SUR,DABLO
DABLO,UREMA
UREMA,PAZ
TAR,PULSA
PULSA,LODAK
LODAK,VIR
PAZ,CRC
CRC,SALKO
SALKO,NEGAX
NEGAX,IRIVA
CIJ,GAXAN
GAXAN,TIMPO
VIR,SANSO
SANSO,VAREB
VAREB,CBA
CBA,TEREP
VIR,PAKES
PAKES,IREDO
IREDO,TRI
ARMUK,LOBON
ESELA,MUDIL
MUDIL,CAM
CAM,PALIV
MOMDI,SURKO
SURKO,VIR
VIR,PAKES
PAKES,IREDO
OROKO,EVSAN
EVSAN,UDUNI
UDUNI,ILTEX
TAR,SINIT
ORALO,KOVIS
KOVIS,PAZ
SILIC,FLOTE
INCAS,ASDAS
ASDAS,ERIKI
ERIKI,DARLA
DARLA,SUR
GESPA,ARUBO
REMEX,SIDAK
ARUBO,DARLA
DARLA,BURDO
PAZ,NESKI
NESKI,KIBUX
TAR,ATENI
ATENI,TEGIS
SINIT,ARUBO
ARUBO,ERIKI
ERIKI,BORAM
BORAM,AKTUM
CBA,PUNAR
PUPON,BOLET
BOLET,UKDOR
UKDOR,KABOM
EROGI,UKEKU
UKEKU,SASNO
OROMU,XOLAT
XOLAT,ROKES
ROKES,SASNO
SASNO,TEPUG
TEPUG,VAROM
SIDAK,ANPOP
ANPOP,UBKAB
SIDAK,XOLAT
XOLAT,TOMUR
TOMUR,VIR
VIR,DIBAS
DIBAS,LOKOX
LOKOX,BITOT
BITOT,SUMGO
ILPEM,UDUNI
UDUNI,BORAM
BORAM,BURDO
BURDO,SUR
SUR,VALUS
FLOTE,RCO
TRI,KETIP
IREDO,TRI
EMPEX,GEKOR
GEKOR,IROBO
IROBO,PAZ
PAZ,AKSIS
AKSIS,ELAMU
ELAMU,BOKAP
VIR,PAKES
PAKES,IREDO
IREDO,TRI
TRI,KETIP
KETIP,OGMET
OGMET,NAXEV
MOSGO,MEVOT
MEVOT,TERAX
TERAX,PAZ
EDSOV,FLOTE
RCO,CIJ
CIJ,BUXAL
FILHO,GJM
BOKAP,OGNES
OGNES,PUDIR
PUDIR,BITAG
SRJ,RBQ
PAZ,ARPIS
ARPIS,SINIT
SINIT,TAR
TAR,BISUG
BISUG,BJO
TIMPO,OGNES
OGNES,RBQ
KETIP,VILUX
VILUX,RCO
TRI,KETIP
KETIP,VILUX
VILUX,RCO
KIBUX,RAXUN
TEGIS,LODUS
LODUS,SUR
SUR,DANBA
DANBA,TMA
PUNAR,EKARI
EKARI,TRI
SLGM,KODSA
KODSA,NIGVA
NIGVA,KILOL
KILOL,UBLEX
UBLEX,TRI
SLRI,UKARO
UKARO,MIKAL
SLCO,AKRUD
AKRUD,TINPO
TINPO,BITAG
SLCO,AKRUD
AKRUD,GAXAN
GAXAN,DAGEM
VIR,GAVOS
GAVOS,GAXUS
GAXUS,SLPS
VIR,LIVON
LIVON,SLYA
SUMGO,AKSIS
RCO,DADED
DADED,BUVKI
SLCO,AKRUD
AKRUD,BOKAP
BOKAP,ELAMU
ELAMU,AKSIS
TEREP,UREMA
UREMA,PAZ
TAR,PULSA
PULSA,ASETO
ASETO,ESMEL
ESMEL,ASADU
PAZ,SUMGO
SUMGO,KIGAX
KIGAX,NEGAX
NEGAX,MALVA
MALVA,NIRBO
NIRBO,IRIVA
PAZ,DAKOG
DAKOG,TEDOK
TEDOK,CBA
CBA,VAREB
VAREB,NETPA
NETPA,SANSO
OBLIR,BOKAP
BOKAP,OBKUL
OBKUL,PAPEK
PAPEK,KADOX
KADOX,TRI
TRI,NILSO
NILSO,NILSO
TEPUG,LOBON
LOBON,GEDUS
KILEV,ALBEG
ALBEG,OBKUL
OBKUL,DIBUG
DIBUG,MALVA
MALVA,LOKOX
LOKOX,GUVAS
GUVAS,NETPA
NETPA,ILPAN
ILPAN,SAVRA
KOMPA,PAZ
PAZ,DAKOG
DAKOG,TEDOK
TEDOK,CBA
CBA,VAREB
VAREB,NETPA
NETPA,SANSO
ISARA,KADOX
KADOX,NIRBO
NIRBO,LOKOX
LOKOX,DOLGI
VAROM,UDIDI
ILRES,VAROM
VAROM,NILSO
NILSO,SEDMA
SEDMA,VIR
VIR,IRESU
IRESU,PALIV
PALIV,NETSU
NETSU,ESMUR
PALIV,ASADU
ASADU,LOLIM
LOLIM,EGUSU
EGUSU,SUR
SUR,DABLO
DABLO,BUXES
BURDO,BUXES
BUXES,MEXAM
MEXAM,CBA
CBA,MOSGO
BOKAP,ALBEG
ALBEG,GRAFO
DOLGI,VAREB
VAREB,GELAS
GELAS,VALUS
VALUS,EGUSU
LOBON,UGUPA
UGUPA,GEBAS
GEBAS,SIDAK
SIDAK,ESDER
KABOM,VIR
EGUSU,LIVET
LIVET,DOLPU
DOLPU,ASETO
SASNO,VIR
VALUS,ANBES
ANBES,SAVRA
SAVRA,EKIKO
EKIKO,VIR
ELAKO,PAZ
PAZ,TERAX
SANSO,VIR
AKSIS,NESKI
NESKI,DOBNI
NAXEV,VILUX
VILUX,RCO
PAZ,ELAKO
FLOTE,RCO
PUDIR,ROBOK
ROBOK,KODNI
KODNI,GRAFO
GRAFO,RCO
RIXUM,OGMET
OGMET,ANA
ANA,UKARO
UKARO,GYA
BITAG,DAGEM
DAGEM,CIJ
ILTEX,LONAB
IRIVA,TRI
RBQ,RENEP
RENEP,CRC
CRC,PAZ
REA,ANA
ANA,TOBLI
TOBLI,TRI
TRI,EKAVI
EKAVI,LOKOX
LOKOX,PUNAV
PUNAV,CBA
BUXES,UREMA
SUR,VALUS
VALUS,ANBES
ANBES,SAVRA
SAVRA,EKIKO
EKIKO,VIR
MOSGO,BITOT
BITOT,NEGAX
NEGAX,DIBUG
DIBUG,PAPEK
PAPEK,CITRA
CITRA,RCO
AKTUM,ARPIS
TRI,EKAVI
EKAVI,LOKOX
LOKOX,PUNAV
PUNAV,CBA
ASADU,OGRON
OGRON,LODAK
IRIVA,TRI
MIKAL,TRI
BITAG,ROBOK
ROBOK,RIXUM
RIXUM,AKRIM
AKRIM,TRI
DAGEM,KODNI
KODNI,NAXEV
NAXEV,SLRI
SLRI,EDSOV
EDSOV,SLGM
SLCO,AKRUD
AKRUD,BOKAP
BOKAP,ELAMU
ELAMU,PAZ
CBA,PORKI
PORKI,MUNET
MUNET,KOSBO
KOSBO,VIR
AKSIS,PAZ
CBA,PORKI
PORKI,MUNET
MUNET,GELAS
GELAS,ILPAN
ILPAN,KOSBO
KOSBO,VIR
SAVRA,MATGO
MATGO,OGRON
OGRON,PALIV
PALIV,PUDED
SANSO,VIR
SLPS,CUB
VIR,GAVOS
GAVOS,ROKES
ROKES,ALGIP
ALGIP,EDRUS
EDRUS,EVLOL
ORALO,ARSUN
ARSUN,GEKOR
GEKOR,ILTEX
ILTEX,AKTUM
AKTUM,MAKPI
MAKPI,DARLA
DARLA,DAKRO
DAKRO,TEGIS
TEGIS,DOLPU
DOLPU,ESMEL
ESMEL,NETSU
NETSU,BOLET
GRAFO,RCO
LONAB,PAZ
ARPIS,PAZ
ATAVO,CBA
ASETO,ESMUR
LODAK,VIR
ESMUR,GAXOK
VIR,ANBUN
ANBUN,CAM
CAM,SLCI
VIR,ANBUN
ANBUN,CAM
CAM,SLLV
VIR,ANBUN
ANBUN,SULGA
SULGA,EKUVO
EKUVO,UGVAX
CBA,PALOT
PALOT,EGUTA
EGUTA,ORU
UREMA,PAZ
PAZ,ELAKO
ESMUR,PUBUM
VIR,MULOG
MULOG,MATGO
MATGO,BUTIN
BUTIN,LIVET
LIVET,LODUS
LODUS,DAKRO
DAKRO,ARUBO
ARUBO,EVSAN
EVSAN,SOTKU
BOLET,BUXOR
ESELA,UKDOR
UKDOR,PUDED
PUDED,ILSOP
ILSOP,EDLOX
EDLOX,DOPGO
